"","id","sp","trait"
"4551","748440","spp_1497",0.819069653050974
"4556","76419","spp_153",0.744395202724263
"4558","195208","spp_391",0.749501509824768
"4559","182168","spp_365",0.796406594337896
"4560","928393","spp_1857",0.640489269280806
"4561","886215","spp_1773",0.746566077461466
"4563","146384","spp_293",0.819428901886567
"4564","208435","spp_417",0.691819499013945
"4569","572895","spp_1146",0.759108844678849
"4570","517023","spp_1035",0.759568985551596
"4571","346289","spp_693",0.728487941203639
"4573","574430","spp_1149",0.706547751789913
"4576","378694","spp_758",0.747262474382296
"4577","832914","spp_1666",0.658624581992626
"4581","925178","spp_1851",0.761586748529226
"4584","534868","spp_1070",0.764105290174484
"4589","684662","spp_1370",0.685455651255324
"4590","420667","spp_842",0.775969383306801
"4592","2433","spp_5",0.705172498244792
"4594","860606","spp_1722",0.689587263856083
"4600","720887","spp_1442",0.725494368933141
"4602","973086","spp_1947",0.629570028511807
"4603","848259","spp_1697",0.733141971519217
"4606","559843","spp_1120",0.810978325549513
"4607","500624","spp_1002",0.756047263508663
"4609","366226","spp_733",0.800319580594078
"4611","203028","spp_407",0.78236980130896
"4616","150289","spp_301",0.778420033399016
"4618","496438","spp_993",0.756990022957325
"4620","146485","spp_293",0.819428901886567
"4621","370601","spp_742",0.729402610333636
"4622","904656","spp_1810",0.775770016713068
"4625","489812","spp_980",0.829269972629845
"4627","401232","spp_803",0.774902485311031
"4630","272455","spp_545",0.712772844592109
"4632","366174","spp_733",0.800319580594078
"4637","604786","spp_1210",0.901057487819344
"4640","615540","spp_1232",0.78140323353
"4648","243751","spp_488",0.71305026859045
"4653","916223","spp_1833",0.777748480206355
"4655","633256","spp_1267",0.790637718513608
"4656","889898","spp_1780",0.748353618662804
"4657","886035","spp_1773",0.746566077461466
"4659","643472","spp_1287",0.788263506954536
"4660","93113","spp_187",0.787629039492458
"4661","841017","spp_1683",0.676203860901296
"4664","936286","spp_1873",0.786608013790101
"4668","530560","spp_1062",0.697952583199367
"4671","259091","spp_519",0.839384693652391
"4672","716358","spp_1433",0.821449090028182
"4674","535180","spp_1071",0.741194637259468
"4677","852939","spp_1706",0.715292738517746
"4678","818401","spp_1637",0.844575829105452
"4685","907525","spp_1816",0.769710869994015
"4687","389815","spp_780",0.768279578536749
"4694","565302","spp_1131",0.718292211182415
"4696","372521","spp_746",0.731161013478413
"4698","878372","spp_1757",0.80435312143527
"4702","415244","spp_831",0.762752028182149
"4703","484291","spp_969",0.763961679534987
"4709","988106","spp_1977",0.747713043121621
"4712","370757","spp_742",0.729402610333636
"4713","574896","spp_1150",0.802131271688268
"4715","365841","spp_732",0.769159319810569
"4716","971408","spp_1943",0.815962721593678
"4717","982436","spp_1965",0.795350914821029
"4719","51486","spp_103",0.763306735083461
"4720","531779","spp_1064",0.785273986170068
"4721","276336","spp_553",0.754054715158418
"4723","823888","spp_1648",0.786885912762955
"4725","569141","spp_1139",0.815680621657521
"4729","279261","spp_559",0.697926826542243
"4730","990948","spp_1982",0.741787048755214
"4732","557306","spp_1115",0.729139554314315
"4734","878047","spp_1757",0.80435312143527
"4736","534882","spp_1070",0.764105290174484
"4737","856556","spp_1714",0.701589044416323
"4739","565286","spp_1131",0.718292211182415
"4741","574252","spp_1149",0.706547751789913
"4742","635830","spp_1272",0.764427131973207
"4748","961872","spp_1924",0.691422480624169
"4749","775448","spp_1551",0.752847529482096
"4753","86661","spp_174",0.848974908469245
"4754","569460","spp_1139",0.815680621657521
"4756","145723","spp_292",0.759491683216766
"4759","134017","spp_269",0.802727065747604
"4762","527549","spp_1056",0.817787310108542
"4763","879282","spp_1759",0.766971070552245
"4764","249131","spp_499",0.730976020684466
"4773","925323","spp_1851",0.761586748529226
"4774","735185","spp_1471",0.758561538532376
"4775","559843","spp_1120",0.810978325549513
"4777","572799","spp_1146",0.759108844678849
"4779","141974","spp_284",0.661141329444945
"4783","39027","spp_79",0.705737362150103
"4784","959847","spp_1920",0.736438357038423
"4786","484045","spp_969",0.763961679534987
"4788","137321","spp_275",0.785415177233517
"4790","690022","spp_1381",0.695080079836771
"4792","560851","spp_1122",0.833116437774152
"4794","645739","spp_1292",0.826275467174128
"4797","172385","spp_345",0.67561852815561
"4799","698384","spp_1397",0.720225559780374
"4804","804764","spp_1610",0.705366267357022
"4805","572828","spp_1146",0.759108844678849
"4810","585237","spp_1171",0.785838677547872
"4811","990880","spp_1982",0.741787048755214
"4818","878878","spp_1758",0.755227337824181
"4819","982305","spp_1965",0.795350914821029
"4821","305351","spp_611",0.79777639452368
"4824","441363","spp_883",0.820376392221078
"4825","352401","spp_705",0.787113308440894
"4826","592146","spp_1185",0.826357537182048
"4828","644964","spp_1290",0.836585158715025
"4830","920793","spp_1842",0.75991875352338
"4836","552032","spp_1105",0.795480963308364
"4839","692591","spp_1386",0.714676417410374
"4841","76369","spp_153",0.744395202724263
"4842","509626","spp_1020",0.755591663531959
"4845","145885","spp_292",0.759491683216766
"4849","879483","spp_1759",0.766971070552245
"4854","37389","spp_75",0.741025876952335
"4862","45397","spp_91",0.678871701471508
"4864","555945","spp_1112",0.747713733930141
"4865","356785","spp_714",0.687396407593042
"4872","89302","spp_179",0.797948390478268
"4873","81626","spp_164",0.793153022648767
"4875","466560","spp_934",0.69143801741302
"4876","605225","spp_1211",0.769788424251601
"4877","736086","spp_1473",0.726187121123075
"4882","172087","spp_345",0.67561852815561
"4884","605107","spp_1211",0.769788424251601
"4886","90794","spp_182",0.832784415688366
"4892","935458","spp_1871",0.760416097939014
"4896","186812","spp_374",0.77325704228133
"4900","831614","spp_1664",0.802086885320023
"4903","80798","spp_162",0.77843558229506
"4904","295149","spp_591",0.845025937771425
"4905","737439","spp_1475",0.783777733333409
"4907","484417","spp_969",0.763961679534987
"4908","125540","spp_252",0.776742729358375
"4912","987738","spp_1976",0.846412614686415
"4918","76369","spp_153",0.744395202724263
"4922","365997","spp_732",0.769159319810569
"4923","145723","spp_292",0.759491683216766
"4924","134206","spp_269",0.802727065747604
"4925","158567","spp_318",0.714847398456186
"4928","796582","spp_1594",0.747317943256348
"4929","655592","spp_1312",0.698146771173924
"4930","560851","spp_1122",0.833116437774152
"4932","369007","spp_739",0.795738379238173
"4934","847132","spp_1695",0.706548936665058
"4938","347200","spp_695",0.833176522981375
"4945","39163","spp_79",0.705737362150103
"4946","759468","spp_1519",0.81732507259585
"4950","806093","spp_1613",0.755133209517226
"4954","574989","spp_1150",0.802131271688268
"4959","724607","spp_1450",0.780475742183626
"4960","317377","spp_635",0.702602722216398
"4962","943180","spp_1887",0.730963399866596
"4963","664782","spp_1330",0.837176003027707
"4966","431658","spp_864",0.682493259431794
"4968","879199","spp_1759",0.766971070552245
"4972","351443","spp_703",0.686881471658126
